Age Range,Work Industry,Job title,"If your job title needs additional context, please clarify here:",Annual Salary,Additional monetary compensation,Currency,"If ""Other,"" please indicate the currency here:","If your income needs additional context, please provide it here:",Work Country,State,City,years of professional work experience,years of professional work experience in field,highest level of education completed,Gender,Race
25-34,Engineering or Manufacturing,Electronic Systems Product Specialist,,105000,8000,USD,,,United States of America,Indiana,Columbus,8-10 years,8-10 years,Master's degree,Man,Asian or Asian American
35-44,Government and Public Administration,Senior Administrative Officer,Supervisor and assistant to the director of the agency,61000,0,USD,,,United States of America,Ohio,Cleveland,11-20 years,11-20 years,Master's degree,Woman,White
45-54,Nonprofits,Chief Information Officer,,135000,0,USD,,,United States of America,District of Columbia,Washington,21-30 years,21-30 years,College degree,Man,White
25-34,Government and Public Administration,Fiscal Analyst II,,73000,0,USD,,,United States of America,North Carolina,Raleigh,5-7 years,2-4 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Recruitment or HR,HR Business Partner,,125000,0,USD,,,United States of America,North Carolina,Raleigh,11-20 years,8-10 years,Master's degree,Woman,White
35-44,Philanthropy,Grant Administrator,,55700,12000,USD,,,United States of America,New York,New York,11-20 years,2-4 years,College degree,Woman,White
25-34,Health care,Business Intelligence Analyst,,71488,,USD,,,United States of America,Idaho,Boise,8-10 years,2-4 years,College degree,Man,White
25-34,"Leisure, Sport & Tourism",Senior Business Analyst,,77069,,USD,,,United States of America,Texas,Dallas,8-10 years,8-10 years,Master's degree,Woman,White
25-34,Health care,Psychiatric NP,Addiction speciality,125000,0,USD,,,United States of America,Massachusetts,Salem,5-7 years,1 year or less,Master's degree,Woman,White
25-34,Engineering or Manufacturing,Project Engineer,,104000,5000,USD,,,United States of America,Colorado,Denver,5-7 years,5-7 years,College degree,Man,White
18-24,Insurance,Consumer Advocate,,24000,,USD,,,United States of America,Tennessee,Memphis,1 year or less,1 year or less,Some college,Woman,Black or African American
35-44,Art & Design,Director,major Auction House,112500,4000,USD,,,United States of America,New York,New York,11-20 years,8-10 years,Master's degree,Woman,White
35-44,Engineering or Manufacturing,Control systems engineer,,111000,40000,USD,,,United States of America,Utah,Salt Lake,11-20 years,11-20 years,College degree,Other or prefer not to answer,White
45-54,Business or Consulting,Office Manager/COO,"Company is me and my two (married) bosses, who let me use whatever title I want",87060,,USD,,,United States of America,California,San Francisco,31-40 years,8-10 years,College degree,Woman,White
25-34,Food,Supervisor,,37440,,USD,,Hourly,United States of America,California,Salinas,5-7 years,8-10 years,Some college,Man,"Hispanic, Latino, or Spanish origin"
18-24,"Accounting, Banking & Finance",Accounting Associate,,58000,15000,USD,,,United States of America,California,Santa Barbara,1 year or less,1 year or less,College degree,Man,Asian or Asian American
25-34,Education (Higher Education),Program Manager,Research Administration at a large university,52000,0,USD,,,United States of America,Alabama,Birmingham,5-7 years,5-7 years,Master's degree,Woman,White
55-64,Law,Professional Assistant,aka Legal Secretary,90000,9000,USD,,,United States of America,District of Columbia,Washington,31-40 years,21-30 years,College degree,Woman,White
25-34,Computing or Tech,Software Engineer,,173000,11688,USD,,Additional compensation as RSus not included,United States of America,New York,New York,8-10 years,5-7 years,Master's degree,Woman,Asian or Asian American
45-54,"Accounting, Banking & Finance",president,,200000,250000,USD,,the extra is owner dividend/distribution,United States of America,North Carolina,Asheville,21-30 years,21-30 years,Master's degree,Woman,White
25-34,Law,Deputy Public Defender,"Appellate public defender, not trial level",94000,0,USD,,,United States of America,Oregon,Salem,5-7 years,5-7 years,Master's degree,Woman,White
35-44,Nonprofits,Executive Assistant,,76000,0,USD,,,United States of America,Virginia,Arlington,11-20 years,8-10 years,College degree,Woman,White
25-34,"Accounting, Banking & Finance",Franchise coordinator,,47000,,USD,,,United States of America,Colorado,Denver,2-4 years,2-4 years,College degree,Woman,White
35-44,Property or Construction,Preconstruction Manager,,116700,8000,USD,,,United States of America,Texas,Austin,11-20 years,11-20 years,College degree,Woman,White
25-34,"Accounting, Banking & Finance",Controller,Financial Controller,120000,7500,USD,,,United States of America,Texas,Austin,11-20 years,8-10 years,College degree,Woman,White
35-44,"Accounting, Banking & Finance",Finance & Accounting Manager,,82000,0,USD,,,United States of America,Illinois,Chicago,11-20 years,5-7 years,College degree,Woman,White
25-34,Municipal Government (Library),Youth Services Librarian,,54953,0,USD,,,United States of America,New Jersey,Ringwood,5-7 years,2-4 years,Master's degree,Woman,White
45-54,Health care,Masters-level Clinician,Behavioral health clinician (therapist) in a community behavioral health clinic,49400,1000,USD,,"Fee for service, with productivity set at 26/week",United States of America,Massachusetts,Orange,21-30 years,2-4 years,Master's degree,Other or prefer not to answer,White
25-34,Government and Public Administration,Data Analyst,,87000,5000,USD,,,United States of America,Washington,Seattle,8-10 years,5-7 years,College degree,Woman,White
45-54,Art & Design,user experience,,150000,0,USD,,,United States of America,New York,Manhattan,11-20 years,11-20 years,College degree,Woman,White
45-54,Health care,Program Manager,,120000,600,USD,,,United States of America,Texas,Houston,21-30 years,21-30 years,College degree,Man,White
35-44,Nonprofits,Research Librarian,,85000,0,USD,,,United States of America,District of Columbia,Washington,11-20 years,5-7 years,Master's degree,Woman,White
35-44,Nonprofits,Business Analyst,Operations,95000,0,USD,,,United States of America,Massachusetts,Agawam,8-10 years,5-7 years,College degree,Woman,White
45-54,Computing or Tech,Software Development Manager,,140000,5000,USD,,,United States of America,Colorado,Denver,21-30 years,11-20 years,Some college,Woman,White
18-24,Education (Primary/Secondary),Senior Admin,,27000,1200,USD,,We are eligible for up to $1200 in bonuses contingent on meeting monthly goals.,United States of America,Texas,Austin,2-4 years,2-4 years,College degree,Woman,White
45-54,Education (Higher Education),Professor,Business School,260000,,USD,,,United States of America,Utah,Provo,21-30 years,21-30 years,PhD,Woman,White
35-44,Agriculture or Forestry,Accounting Analyst,,72000,,USD,,,United States of America,Illinois,Decatur,11-20 years,1 year or less,College degree,Woman,White
25-34,Engineering or Manufacturing,Engineer III,,108000,,USD,,,United States of America,California,San Diego,11-20 years,8-10 years,Master's degree,Non-binary,White
25-34,"Marketing, Advertising & PR",Account Manager,,35000,,USD,,,United States of America,Colorado,Golden,8-10 years,5-7 years,Master's degree,Woman,White
45-54,Computing or Tech,People Operations Manager,,80000,,USD,,,United States of America,Pennsylvania,Pittsburgh,21-30 years,11-20 years,College degree,Woman,White
45-54,"Accounting, Banking & Finance",Chief of Staff,Director of Operations,140000,45000,USD,,,United States of America,New Jersey,Newark,21-30 years,11-20 years,Master's degree,Other or prefer not to answer,White
35-44,Government and Public Administration,Regional Consultant,Work for State Library agency advising public libraries,40709,0,USD,,"Full time salary @ 37.5-hour week. If a 40 hour week it would be $43,422.72/year",United States of America,Kentucky,Lexington,21-30 years,11-20 years,Master's degree,Woman,White
35-44,Computing or Tech,Data Conversion Analyst IV,"Assemble requirements, perform field mappings, and write code to move data from source to target enterprise law enforcement software.",86000,8600,USD,,,United States of America,South Dakota,Sioux Falls,11-20 years,11-20 years,College degree,Man,White
25-34,Libraries,Public Services Supervisor,,64341,0,USD,,,United States of America,Virginia,Richmond,8-10 years,8-10 years,Master's degree,Woman,White
25-34,E-commerce,Executive Assistant,,43450,500,USD,,,United States of America,Texas,Dallas,2-4 years,2-4 years,Master's degree,Woman,White
45-54,Health care,Talent Acquisition Strategist,,62000,,USD,,,United States of America,South Dakota,Sioux Falls,21-30 years,11-20 years,College degree,Woman,White
35-44,Health care,psychotherapist,"I'm in private practice, so self-employed",100000,0,USD,,,United States of America,California,San Francisco,21-30 years,11-20 years,Master's degree,Woman,White
25-34,Nonprofits,Marketing Manager,,36900,0,USD,,,United States of America,New Mexico,Albuquerque,5-7 years,2-4 years,College degree,Woman,White
45-54,Law,Managing Attorney - State Government,,180000,0,USD,,Salaried position,United States of America,California,Sacramento,21-30 years,21-30 years,"Professional degree (MD, JD, etc.)",Man,White
25-34,Nonprofits,Senior Grants Manager,,62000,,USD,,,United States of America,District of Columbia,Washington,8-10 years,5-7 years,Master's degree,Woman,White
25-34,"Marketing, Advertising & PR",Technical Writer,,77250,0,USD,,,United States of America,Minnesota,Chanhassen,2-4 years,2-4 years,College degree,Non-binary,White
25-34,Sales,Partner Success Lead,,85000,0,USD,,,United States of America,District of Columbia,Washington,5-7 years,5-7 years,Master's degree,Woman,Middle Eastern or Northern African
35-44,"Marketing, Advertising & PR",Customer Service Manager,"call center supervisor, + additional hats",40560,,USD,,,United States of America,New York,Binghamton,11-20 years,5-7 years,Some college,Woman,White
25-34,Engineering or Manufacturing,Senior Research Associate,,80000,5000,USD,,,United States of America,Massachusetts,Cambridge,2-4 years,2-4 years,Master's degree,Woman,White
25-34,Computing or Tech,Engineering Manager,,142000,15000,USD,,,United States of America,Nevada,Las Vegas,8-10 years,8-10 years,College degree,Man,White
35-44,Pharmaceutical R&D,Biostatistician,Manager-level biostatistician,199900,45000,USD,,,United States of America,Pennsylvania,Philadelphia,21-30 years,11-20 years,Master's degree,Woman,White
35-44,Computing or Tech,Sales Excellence Manager,Not a people manager role,152000,27000,USD,,,United States of America,Washington,Bellevue,11-20 years,5-7 years,Master's degree,Man,White
18-24,Media & Digital,Analyst,,65000,5000,USD,,,United States of America,New York,New York,2-4 years,2-4 years,College degree,Man,White
35-44,Nonprofits,Public Library Director,,52000,,USD,,"no health insurance, no benefits, no pension, very limited time off",United States of America,New York,Near Buffalo,21-30 years,11-20 years,Master's degree,Woman,White
45-54,Computing or Tech,OPerations Manager,,93000,5000,USD,,Small tech company - less than 50 employees,United States of America,South Carolina,Beaufort,21-30 years,11-20 years,College degree,Woman,White
35-44,Hospitality & Events,Director of Operations,Oversee food service and party rental divisions of a small (under $10m / yr revenue) family owned business in the hospitality/event sector.,73000,1000,USD,,,United States of America,Massachusetts,Worcester,11-20 years,11-20 years,College degree,Man,White
35-44,Computing or Tech,Threat Hunter,"Senior Security Analyst (Information Security), I work 100% remote",93000,,USD,,,United States of America,Illinois,Bloomington,11-20 years,8-10 years,Some college,Woman,White
35-44,"Accounting, Banking & Finance",Audit Manager,CPA firm,95000,5000,USD,,,United States of America,California,Sacramento,5-7 years,5-7 years,Master's degree,Woman,White
25-34,Computing or Tech,Technical Writer,,75000,,USD,,,United States of America,Oregon,Portland,5-7 years,2-4 years,College degree,Woman,White
25-34,Media & Digital,Senior Engineering Manager,On the tech side at a major newspaper.,181000,25000,USD,,,United States of America,New York,New York,8-10 years,8-10 years,College degree,Man,White
35-44,Health care,"Director, Enterprise IT Applications",,160000,,USD,,,United States of America,Georgia,Atlanta,11-20 years,11-20 years,Master's degree,Non-binary,White
45-54,Health care,Advanced EMT,,30475,10000,USD,,"Overtime is always available; shift differentials for night, weekend, and holiday shifts too.",United States of America,Georgia,North Georgia,21-30 years,2-4 years,College degree,Woman,White
35-44,Law,Attorney,Public Defense,72000,5000,USD,,,United States of America,Oregon,Portland,11-20 years,2-4 years,"Professional degree (MD, JD, etc.)",Woman,White
